GRUPO FINANCEIRO;Consultor Comercial;Empresa;Tipo;Pagto;Porte Cliente;Cliente (Razão Social);CNPJ;Operadora;Benefício ;Tipo Receita; Premio Bruto ;% Receita para XIPP; Receita Bruta da Corretora XIPP ;  % Impostos retidos; Impostos retidos ; Receita recebida pela Corretora XIPP ;(%) Impostos sobre receita;  Imposto R$  ; Receita Líquida  ;"% 
Comissão"; Comissão a Pagar ;
Confirp;Cristina Camillo;Camillo;Parceiro;01/05/2023;Middle;Financeiro 24 Horas.com;04.929.302/0001-08;Amil;Odonto;Comissão; R$ 1.176,07 ;5,00%; R$ 58,80 ;1,50%; R$ 0,88 ; R$ 57,92 ;14,25%; R$ 8,25 ; R$ 49,67 ;50,00%; R$ 24,83 ;
Confirp;Leandro Peralta;Leandro Peralta;Consultor Interno;01/07/2023;Middle;Financeiro 24 Horas.com;04.929.302/0001-08;Amil;Odonto;Comissão; R$ 1.176,07 ;5,00%; R$ 58,80 ;1,50%; R$ 0,88 ; R$ 57,92 ;14,25%; R$ 8,25 ; R$ 24,83 ;10,00%; R$ 2,48 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/03/2024;Corporate;Ortobom;14.294.395/0002-78;Metlife Vida;Vida;Comissão; R$ 401,95 ;15,00%; R$ 60,29 ;3,50%; R$ 2,11 ; R$ 58,18 ;14,25%; R$ 8,29 ; R$ 49,89 ;10,00%; R$ 4,99 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/02/2024;Corporate;Ortobom;14.294.395/0002-78;Metlife Vida;Vida;Comissão; R$ 401,95 ;15,00%; R$ 60,29 ;3,50%; R$ 2,11 ; R$ 58,18 ;14,25%; R$ 8,29 ; R$ 49,89 ;10,00%; R$ 4,99 ;
Mol Brasil;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/07/2022;Small;Mol Brasil Ltda.;69.070.092/0005-06;Metlife Vida;Vida;Agenciamento; R$ 60,45 ;100,00%; R$ 60,45 ;3,15%; R$ 1,90 ; R$ 58,55 ;14,25%; R$ 8,34 ; R$ 50,20 ;20,00%; R$ 10,04 ;
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;Comissão; R$ 631,95 ;10,00%; R$ 63,20 ;6,50%; R$ 4,11 ; R$ 59,09 ;14,25%; R$ 8,42 ; R$ 50,67 ;10,00%; R$ 5,07 ;
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2022;Middle;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;Comissão; R$ 631,95 ;10,00%; R$ 63,20 ;6,50%; R$ 4,11 ; R$ 59,09 ;14,25%; R$ 8,42 ; R$ 50,67 ;10,00%; R$ 5,07 ;
OSF DIGITAL LTDA;Fauaz Cury;Secury;Parceiro;01/03/2024;Middle;OSF DIGITAL LTDA;06.029.766/0003-47;Metlife;Odonto;Comissão; R$ 612,36 ;10,00%; R$ 61,24 ;3,50%; R$ 2,14 ; R$ 59,09 ;14,25%; R$ 8,42 ; R$ 50,67 ;30,00%; R$ 15,20 ;
OSF DIGITAL LTDA;Fauaz Cury;Secury;Parceiro;01/02/2024;Middle;OSF DIGITAL LTDA;06.029.766/0003-47;Metlife;Odonto;Comissão; R$ 612,36 ;10,00%; R$ 61,24 ;3,50%; R$ 2,14 ; R$ 59,09 ;14,25%; R$ 8,42 ; R$ 50,67 ;30,00%; R$ 15,20 ;
OSF DIGITAL LTDA;Fauaz;Secury;Parceiro;01/01/2024;Middle;OSF DIGITAL LTDA;06.029.766/0003-47;Metlife;Odonto;Comissão; R$ 612,36 ;10,00%; R$ 61,24 ;3,50%; R$ 2,14 ; R$ 59,09 ;14,25%; R$ 8,42 ; R$ 50,67 ;30,00%; R$ 15,20 ;
OSF Digital;Fauz Cury;Secury;Parceiro;01/12/2023;Middle;OSF DIGITAL LTDA;06.029.766/0003-47;Metlife;Odonto;Comissão; R$ 612,36 ;10,00%; R$ 61,24 ;3,50%; R$ 2,14 ; R$ 59,09 ;14,25%; R$ 8,42 ; R$ 50,67 ;30,00%; R$ 15,20 ;
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/08/2022;Corporate;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;Comissão; R$ 643,44 ;10,00%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; R$ 8,57 ; R$ 51,59 ;10,00%; R$ 5,16 ;
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;Comissão; R$ 643,44 ;10,00%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; R$ 8,57 ; R$ 51,59 ;10,00%; R$ 5,16 ;
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2022;Corporate;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;Comissão; R$ 643,44 ;10,00%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; R$ 8,57 ; R$ 51,59 ;10,00%; R$ 5,16 ;
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2022;Middle;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;Comissão; R$ 643,44 ;10,00%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; R$ 8,57 ; R$ 51,59 ;10,00%; R$ 5,16 ;
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;MON VILLE RESTAURANTES;30.546.132/0001-84;METLIFE;ODONTO;Comissão; R$ 643,44 ;10,00%; R$ 64,34 ;6,50%; R$ 4,18 ; R$ 60,16 ;14,25%; R$ 8,57 ; R$ 51,59 ;10,00%; R$ 5,16 ;
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/07/2022;Corporate;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;Comissão; R$ 647,11 ;10,00%; R$ 64,71 ;6,50%; R$ 4,21 ; R$ 60,50 ;14,25%; R$ 8,62 ; R$ 51,88 ;10,00%; R$ 5,19 ;
Isar Engenharia;Thamires Rosa;Thamires Rosa;Consultor Interno;01/08/2023;Middle;Isar Engenharia;67.669.424/0001-14;Tokio;Vida;Comissão; R$ 309,02 ;20,00%; R$ 61,80 ;201,00%; R$ 1,24 ; R$ 60,56 ;14,25%; R$ 8,63 ; R$ 51,93 ;10,00%; R$ 5,19 ;
123 Milhas;Dr José;Lajos e Coelho;Parceiro;01/02/2023;Middle;GRUPO ARTVIA;11.442.110/0001-20;UNIMED BH;SAÚDE;Comissão; R$ 1.303,10 ;5,00%; R$ 65,16 ;6,50%; R$ 4,24 ; R$ 60,92 ;14,25%; R$ 8,68 ; R$ 52,24 ;10,00%; R$ 5,22 ;
Mon Ville;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;MON VILLE MINAS REFEIÇÕES;14.429.436/0001-05;METLIFE;ODONTO;Comissão; R$ 654,93 ;10,00%; R$ 65,49 ;6,50%; R$ 4,26 ; R$ 61,24 ;14,25%; R$ 8,73 ; R$ 52,51 ;10,00%; R$ 5,25 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/10/2023;Corporate;Ortobom;02.895.152/0001-25;Metlife Vida;Vida;Comissão; R$ 424,31 ;0,15%; R$ 63,65 ;3,50%; R$ 2,23 ; R$ 61,42 ;14,25%; R$ 8,75 ; R$ 52,67 ;10,00%; R$ 5,27 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/11/2023;Corporate;Ortobom;02.895.152/0001-25;Metlife Vida;Vida;Comissão; R$ 424,31 ;0,15%; R$ 63,65 ;3,50%; R$ 2,23 ; R$ 61,42 ;14,25%; R$ 8,75 ; R$ 52,67 ;10,00%; R$ 5,27 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/04/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.323,03 ;5,00%; R$ 66,15 ;6,50%; R$ 4,30 ; R$ 61,85 ;14,25%; R$ 8,81 ; R$ 53,04 ;10,00%; R$ 5,30 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/03/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.323,03 ;5,00%; R$ 66,15 ;6,50%; R$ 4,30 ; R$ 61,85 ;14,25%; R$ 8,81 ; R$ 53,04 ;10,00%; R$ 5,30 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/06/2023;Middle;Zangari;23.087.726/0001-09;Metlife;Odonto;Comissão ; R$ 667,50 ;10,00%; R$ 66,75 ;6,50%; R$ 4,34 ; R$ 62,41 ;14,25%; R$ 8,89 ; R$ 53,52 ;10,00%; R$ 5,35 ;
Grupo Sifra;Michelle;Balsamão;Parceiro;01/10/2023;Middle;"	Pwa S/A";"	04.455.612/0001-20";Bradesco;Saúde;Comissão; R$ 2.183,68 ;3,00%; R$ 65,51 ;3,50%; R$ 2,29 ; R$ 63,22 ;14,25%; R$ 9,01 ; R$ 54,21 ;30,00%; R$ 16,26 ;
Sinalisa;Marcelo Natal;MNT Barcelos;Consultor Interno;01/04/2022;Middle;Sinalisa;61.409.355/0001-23;SULAMERICA;SAÚDE;Comissão; R$ 1.313,68 ;5,00%; R$ 65,68 ;3,50%; R$ 2,30 ; R$ 63,39 ;14,25%; R$ 9,03 ; R$ 54,35 ;10,00%; R$ 5,44 ;
Lemasa;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/01/2024;Middle;Lemasa;21.571.621/0001-03;Sul America Seguros de Pessoas e Previdêcia Saúde S.A.;Vida;Comissão; R$ 441,80 ;15,00%; R$ 66,27 ;351,00%; R$ 2,33 ; R$ 63,94 ;14,25%; R$ 9,11 ; R$ 54,83 ;10,00%; R$ 5,49 ;
Bobinex;Rafael Galhardo;Messem;Parceiro;01/03/2024;Middle;Bobinex;43.494.200/0001-50;Amil;Saúde;Comissão; R$ 1.302,06 ;5,00%; R$ 65,10 ;1,50%; R$ 0,98 ; R$ 64,13 ;14,25%; R$ 9,14 ; R$ 54,99 ;50,00%; R$ 27,49 ;
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/03/2024;Middle;Bobinex;43.494.200/0001-50;Amil;Saúde;Comissão; R$ 1.302,06 ;5,00%; R$ 65,10 ;1,50%; R$ 0,98 ; R$ 64,13 ;14,25%; R$ 9,14 ; R$ 38,49 ;50,00%; R$ 19,25 ;
Kerry Logistics;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2024;Small;Kerry Logistics;66.935.099/0001-21;Unimed Campinas;Saúde;Comissão; R$ 1.645,50 ;4,00%; R$ 65,82 ;1,50%; R$ 0,99 ; R$ 64,83 ;14,25%; R$ 9,24 ; R$ 55,59 ;10,00%; R$ 5,56 ;
Kerry Logistics;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2024;Small;Kerry Logistics;66.935.099/0001-21;Unimed Campinas;Saúde;Comissão; R$ 1.645,50 ;4,00%; R$ 65,82 ;1,50%; R$ 0,99 ; R$ 64,83 ;14,25%; R$ 9,24 ; R$ 55,59 ;10,00%; R$ 5,56 ;
Kerry Logistics;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2024;Small;Kerry Logistics;66.935.099/0001-21;Unimed Campinas;Saúde;Comissão; R$ 1.645,50 ;4,00%; R$ 65,82 ;1,50%; R$ 0,99 ; R$ 64,83 ;14,25%; R$ 9,24 ; R$ 55,59 ;10,00%; R$ 5,56 ;
LBV;Michelle;Balsamão;Parceiro;01/03/2023;Small;Tella Engenharia;33.915.604/0001-17;Prudential;Vida;Comissão; R$ 348,30 ;20,00%; R$ 69,66 ;6,50%; R$ 4,53 ; R$ 65,13 ;14,25%; R$ 9,28 ; R$ 55,85 ;30,00%; R$ 16,76 ;
Erj Consultoria;Suelen Zamboni;Zamboni Pereira;Consultor Interno;01/04/2022;Small;Erj Consultoria;28.673.498.0001-72;CNU;Saúde;Comissão; R$ 1.376,59 ;5,00%; R$ 68,83 ;5,00%; R$ 3,44 ; R$ 65,39 ;14,25%; R$ 9,32 ; R$ 56,07 ;20,00%; R$ 11,21 ;
Primalter;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Small;Primalter;56.802.044/0001-90;Metlife ;Odonto;Agenciamento; R$ 67,94 ;100,00%; R$ 67,94 ;3,50%; R$ 2,38 ; R$ 65,56 ;14,25%; R$ 9,34 ; R$ 56,22 ;10,00%; R$ 5,62 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/02/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.403,45 ;5,00%; R$ 70,17 ;6,50%; R$ 4,56 ; R$ 65,61 ;14,25%; R$ 9,35 ; R$ 56,26 ;10,00%; R$ 5,63 ;
Odoncare;Bruno Gass;Monte Bravo;Parceiro;01/03/2024;Small;Odoncare;03.106.048/0001-77;Bradesco;Saúde;Comissão; R$ 3.418,46 ;2,00%; R$ 68,37 ;3,50%; R$ 2,39 ; R$ 65,98 ;14,25%; R$ 9,40 ; R$ 56,57 ;50,00%; R$ 28,29 ;
Odoncare;Bruno Gass;Monte Bravo;Parceiro;01/03/2024;Small;Odoncare;03.106.048/0001-77;Bradesco;Saúde;Comissão; R$ 3.418,46 ;2,00%; R$ 68,37 ;3,50%; R$ 2,39 ; R$ 65,98 ;14,25%; R$ 9,40 ; R$ 56,57 ;50,00%; R$ 28,29 ;
Objetivo;Marcelo Natal;MNT Barcelos;Consultor Interno;01/01/2024;Middle;Objetivo;11.269.162/0001-46;Odontoprev;Odonto;Comissão; R$ 684,30 ;10,00%; R$ 68,43 ;3,50%; R$ 2,40 ; R$ 66,03 ;14,25%; R$ 9,41 ; R$ 56,62 ;10,00%; R$ 5,66 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/06/2023;Middle;Zangari;09.290.783/0001-60;Metlife;Odonto;Comissão ; R$ 706,52 ;10,00%; R$ 70,65 ;6,50%; R$ 4,59 ; R$ 66,06 ;14,25%; R$ 9,41 ; R$ 56,65 ;10,00%; R$ 5,66 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/08/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.323,03 ;5,00%; R$ 66,15 ;0,00%; R$ -   ; R$ 66,15 ;14,25%; R$ 9,43 ; R$ 56,72 ;10,00%; R$ 5,67 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/08/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.323,03 ;5,00%; R$ 66,15 ;0,00%; R$ -   ; R$ 66,15 ;14,25%; R$ 9,43 ; R$ 56,72 ;10,00%; R$ 5,67 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/08/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.323,03 ;5,00%; R$ 66,15 ;0,00%; R$ -   ; R$ 66,15 ;14,25%; R$ 9,43 ; R$ 56,72 ;10,00%; R$ 5,67 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/08/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.323,03 ;5,00%; R$ 66,15 ;0,00%; R$ -   ; R$ 66,15 ;14,25%; R$ 9,43 ; R$ 56,72 ;10,00%; R$ 5,67 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/07/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.323,03 ;5,00%; R$ 66,15 ;0,00%; R$ -   ; R$ 66,15 ;14,25%; R$ 9,43 ; R$ 56,72 ;10,00%; R$ 5,67 ;
Mann Hummel;Flavia Tarosso;FOT;Parceiro;01/06/2022;Middle;Mann Hummel;57.014.862/0013-24;CCG;SAÚDE;Comissão; R$ 1.323,03 ;5,00%; R$ 66,15 ;0,00%; R$ -   ; R$ 66,15 ;14,25%; R$ 9,43 ; R$ 56,72 ;10,00%; R$ 5,67 ;
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/12/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco Saúde S.A;Saúde;Comissão; R$ 3.453,60 ;2,00%; R$ 69,08 ;350,00%; R$ 2,42 ; R$ 66,66 ;14,25%; R$ 9,50 ; R$ 57,16 ;10,00%; R$ 5,72 ;
Nova Engevix;Suelen Pereira;Zamboni Pereira;Consultor Interno;01/11/2023;Middle;Nova Engevix;00.103.582/0001-31;Bradesco;Saúde;Comissão; R$ 3.453,60 ;2,00%; R$ 69,08 ;350,00%; R$ 2,42 ; R$ 66,66 ;14,25%; R$ 9,50 ; R$ 57,16 ;10,00%; R$ 5,72 ;
123 Milhas;Dr José;Lajos e Coelho;Parceiro;01/01/2023;Middle;GRUPO ARTVIA;11.442.110/0001-20;UNIMED BH;SAÚDE;Comissão; R$ 1.428,00 ;5,00%; R$ 71,40 ;6,50%; R$ 4,64 ; R$ 66,76 ;14,25%; R$ 9,51 ; R$ 57,25 ;10,00%; R$ 5,72 ;
123 Milhas;Dr José;Lajos e Coelho;Parceiro;01/12/2022;Middle;GRUPO ARTVIA;11.442.110/0001-20;UNIMED BH;SAÚDE;Comissão; R$ 1.428,00 ;5,00%; R$ 71,40 ;6,50%; R$ 4,64 ; R$ 66,76 ;14,25%; R$ 9,51 ; R$ 57,25 ;10,00%; R$ 5,72 ;
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/03/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;Comissão; R$ 714,56 ;10,00%; R$ 71,46 ;6,50%; R$ 4,64 ; R$ 66,81 ;14,25%; R$ 9,52 ; R$ 57,29 ;10,00%; R$ 5,73 ;
Kryptus;Marcelo Natal;MNT Barcelos;Consultor Interno;01/02/2022;Middle;KRYPTUS;05.761.098/0001-13;AMIL;ODONTO;Comissão; R$ 714,56 ;10,00%; R$ 71,46 ;6,50%; R$ 4,64 ; R$ 66,81 ;14,25%; R$ 9,52 ; R$ 57,29 ;10,00%; R$ 5,73 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;Ortobom;43.074.533/0005-54;Metlife Vida;Vida;Comissão; R$ 461,84 ;15,00%; R$ 69,28 ;3,50%; R$ 2,42 ; R$ 66,85 ;14,25%; R$ 9,53 ; R$ 57,33 ;10,00%; R$ 5,73 ;
Ortobom;Leandro Peralta;Leandro Peralta;Consultor Interno;01/09/2023;Corporate;Ortobom;43.074.533/0005-54;Metlife Vida;Vida;Comissão; R$ 461,84 ;15,00%; R$ 69,28 ;3,50%; R$ 2,42 ; R$ 66,85 ;14,25%; R$ 9,53 ; R$ 57,33 ;10,00%; R$ 5,73 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/07/2023;Middle;Zangari;09.290.783/0001-60;Metlife;Odonto;Comissão ; R$ 718,01 ;10,00%; R$ 71,80 ;6,50%; R$ 4,67 ; R$ 67,13 ;14,25%; R$ 9,57 ; R$ 57,57 ;10,00%; R$ 5,76 ;
LBV;Michelle;Balsamão;Parceiro;01/04/2023;Small;Tella Engenharia;33.915.604/0001-17;Prudential;Vida;Comissão; R$ 359,11 ;20,00%; R$ 71,82 ;6,50%; R$ 4,67 ; R$ 67,15 ;14,25%; R$ 9,57 ; R$ 57,58 ;30,00%; R$ 17,28 ;
Bali Clinica De Anestesia E Servicos Medicos Hospi;Marcelo Tolentino;Martinelli;Parceiro;01/02/2024;Middle;Bali Clinica De Anestesia E Servicos Medicos Hospi;39.351.018/0001-73;Omint;Saúde;Comissão; R$ 2.400,76 ;3,00%; R$ 72,02 ;6,50%; R$ 4,68 ; R$ 67,34 ;14,25%; R$ 9,60 ; R$ 57,75 ;30,00%; R$ 17,32 ;
Bali Clinica De Anestesia E Servicos Medicos Hospi;Marcelo Tolentino;Martinelli;Parceiro;01/01/2024;Middle;Bali Clinica De Anestesia E Servicos Medicos Hospi;39.351.018/0001-73;Omint;Saúde;Comissão; R$ 2.400,76 ;3,00%; R$ 72,02 ;6,50%; R$ 4,68 ; R$ 67,34 ;14,25%; R$ 9,60 ; R$ 57,75 ;30,00%; R$ 17,32 ;
Takaoka;Marcelo Tolentino;Martinelli;Parceiro;01/12/2023;Middle;Bali Clinica De Anestesia E Servicos Medicos Hospi;39.351.018/0001-73;Omint;Saúde;Comissão; R$ 2.400,76 ;3,00%; R$ 72,02 ;6,50%; R$ 4,68 ; R$ 67,34 ;14,25%; R$ 9,60 ; R$ 57,75 ;30,00%; R$ 17,32 ;
Takaoka;Marcelo Tolentino;Martinelli;Parceiro;01/11/2023;Middle;Bali Clinica De Anestesia E Servicos Medicos Hospi;39.351.018/0001-73;Omint;Saúde;Comissão; R$ 2.400,76 ;3,00%; R$ 72,02 ;6,50%; R$ 4,68 ; R$ 67,34 ;14,25%; R$ 9,60 ; R$ 57,75 ;30,00%; R$ 17,32 ;
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/02/2024;Corporate;"	Nutrien";04.536.791/0001-20;Odontoprev;Odonto;Comissão; R$ 701,25 ;10,00%; R$ 70,13 ;3,50%; R$ 2,45 ; R$ 67,67 ;14,25%; R$ 9,64 ; R$ 58,03 ;10,00%; R$ 5,80 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/08/2023;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;Comissão; R$ 729,50 ;10,00%; R$ 72,95 ;650,00%; R$ 4,74 ; R$ 68,21 ;14,25%; R$ 9,72 ; R$ 58,49 ;10,00%; R$ 5,85 ;
Takaoka;Marcelo Tolentino;Martinelli;Parceiro;01/08/2023;Middle;Bali Clinica De Anestesia E Servicos Med;39.351.018/0001-73;Omint;Saúde;Comissão; R$ 2.454,60 ;3,00%; R$ 73,64 ;6,50%; R$ 4,79 ; R$ 68,85 ;14,25%; R$ 9,81 ; R$ 59,04 ;30,00%; R$ 17,71 ;
Takaoka;Marcelo Tolentino;Martinelli;Parceiro;01/07/2023;Middle;Bali Clinica De Anestesia E Servicos Med;39.351.018/0001-73;Omint;Saúde;Comissão; R$ 2.454,60 ;3,00%; R$ 73,64 ;6,50%; R$ 4,79 ; R$ 68,85 ;14,25%; R$ 9,81 ; R$ 59,04 ;30,00%; R$ 17,71 ;
Takaoka;Marcelo Tolentino;Martinelli;Parceiro;01/09/2023;Middle;Bali Clinica De Anestesia E Servicos Medicos Hospi;39.351.018/0001-73;Omint;Saúde;Comissão; R$ 2.454,67 ;3,00%; R$ 73,64 ;6,50%; R$ 4,79 ; R$ 68,85 ;14,25%; R$ 9,81 ; R$ 59,04 ;30,00%; R$ 17,71 ;
LBV;Michelle;Balsamão;Parceiro;01/03/2023;Small;Tella Engenharia;33.915.604/0001-17;Prudential;Vida;Comissão; R$ 369,92 ;20,00%; R$ 73,98 ;6,50%; R$ 4,81 ; R$ 69,18 ;14,25%; R$ 9,86 ; R$ 59,32 ;30,00%; R$ 17,80 ;
"	Nutrien";Leandro Peralta;Leandro Peralta;Consultor Interno;01/01/2024;Corporate;"	Nutrien";03.482.332/0001-48;Odontoprev;Odonto;Comissão; R$ 718,79 ;10,00%; R$ 71,88 ;3,50%; R$ 2,52 ; R$ 69,36 ;14,25%; R$ 9,88 ; R$ 59,48 ;10,00%; R$ 5,95 ;
Mutual;Marcelo Natal;MNT Barcelos;Consultor Interno;01/06/2023;Corporate;MUTUAL;24.285.984/0001-62;METLIFE;VIDA;Comissão; R$ 361,93 ;20,00%; R$ 72,39 ;3,50%; R$ 2,53 ; R$ 69,85 ;14,25%; R$ 9,95 ; R$ 59,90 ;10,00%; R$ 5,99 ;
Mutual;Marcelo Natal;MNT Barcelos;Consultor Interno;01/05/2023;Corporate;MUTUAL;24.285.984/0001-62;METLIFE;VIDA;Comissão; R$ 361,93 ;20,00%; R$ 72,39 ;3,50%; R$ 2,53 ; R$ 69,85 ;14,25%; R$ 9,95 ; R$ 59,90 ;10,00%; R$ 5,99 ;
Bobinex;Regiane Eugenio;Regiane Eugenio;Consultor Interno;01/12/2023;Middle;Bobinex;60.936.085/0001-46;Metlife Odonto;Odonto;Agenciamento; R$ 75,14 ;100,00%; R$ 75,14 ;6,50%; R$ 4,88 ; R$ 70,26 ;14,25%; R$ 10,01 ; R$ 28,51 ;10,00%; R$ 2,85 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/01/2024;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;Comissão; R$ 752,48 ;10,00%; R$ 75,25 ;6,50%; R$ 4,89 ; R$ 70,36 ;14,25%; R$ 10,03 ; R$ 60,33 ;10,00%; R$ 6,03 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/12/2023;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;Comissão; R$ 752,48 ;10,00%; R$ 75,25 ;6,50%; R$ 4,89 ; R$ 70,36 ;14,25%; R$ 10,03 ; R$ 60,33 ;10,00%; R$ 6,03 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/11/2023;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;Comissão; R$ 752,48 ;10,00%; R$ 75,25 ;6,50%; R$ 4,89 ; R$ 70,36 ;14,25%; R$ 10,03 ; R$ 60,33 ;10,00%; R$ 6,03 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Zangari;43.454.594/0001-13;Metlife Planos Odontológicos Ltda;Odonto;Comissão; R$ 752,48 ;10,00%; R$ 75,25 ;650,00%; R$ 4,89 ; R$ 70,36 ;14,25%; R$ 10,03 ; R$ 60,33 ;10,00%; R$ 6,03 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/10/2023;Middle;Zangari;43.454.594/0001-13;Metlife Planos Odontológicos Ltda;Odonto;Comissão; R$ 752,48 ;10,00%; R$ 75,25 ;650,00%; R$ 4,89 ; R$ 70,36 ;14,25%; R$ 10,03 ; R$ 60,33 ;10,00%; R$ 6,03 ;
Zangari;Mayara Costa;MC Consultoria;Consultor Interno;01/09/2023;Middle;Zangari;43.454.594/0001-13;Metlife;Odonto;Comissão; R$ 752,48 ;10,00%; R$ 75,25 ;650,00%; R$ 4,89 ; R$ 70,36 ;14,25%; R$ 10,03 ; R$ 60,33 ;10,00%; R$ 6,03 ;
J. A. Luan;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/01/2024;Small;J. A. Luan;30.680.120/0001-48;Metlife;Vida;Comissão; R$ 366,51 ;20,00%; R$ 73,30 ;3,50%; R$ 2,57 ; R$ 70,74 ;14,25%; R$ 10,08 ; R$ 60,66 ;10,00%; R$ 6,07 ;
J. A. Luan;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/01/2024;Small;J. A. Luan;30.680.120/0001-48;Metlife;Vida;Comissão; R$ 366,51 ;20,00%; R$ 73,30 ;3,50%; R$ 2,57 ; R$ 70,74 ;14,25%; R$ 10,08 ; R$ 60,66 ;10,00%; R$ 6,07 ;
J. A. Luan;Juliana Boldrini;Juliana Boldrini;Consultor Interno;01/01/2024;Small;J. A. Luan;30.680.120/0001-48;Metlife;Vida;Comissão; R$ 366,51 ;20,00%; R$ 73,30 ;3,50%; R$ 2,57 ; R$ 70,74 ;14,25%; R$ 10,08 ; R$ 60,66 ;10,00%; R$ 6,07 ;
